username,display_name,bio,tags,is_active,created_at,location,profile_image_url,niche,followers_count,engagement_rate,average_rate
dimpisanghvi_ws,Dimpi Sanghvi,Luxury lifestyle & travel influencer (E4M award),"{travel, lifestyle}",t,2022-07-15 14:23:00,India,https://randomuser.me/api/portraits/men/0.jpg,Travel,5M,3.10%,"₹150,000"
iamshashh,Shashank Sanghvi,"Luxury travel influencer, connoisseur of cars & hotels","{travel, luxury}",t,2021-11-03 09:12:45,India,https://randomuser.me/api/portraits/women/1.jpg,Travel,3.4M,2.80%,"₹120,000"
mallu_traveler,Shakir Subhan,Travel vlogger exploring 80+ countries,"{travel, vlogging}",t,2020-12-22 18:45:10,India,https://randomuser.me/api/portraits/men/1.jpg,Travel,2.3M,4.00%,"₹80,000"
shenaztreasury,Shenaz Treasurywala,"Sustainable travel & wellness blogger, collects smiles","{travel, wellness}",t,2023-03-05 11:02:33,India,https://randomuser.me/api/portraits/women/2.jpg,Travel,1.4M,4.50%,"₹90,000"
brindasharma,Brinda Sharma,Motorcycle travel influencer; founder of Waqa Coffee,"{travel, motorcycle}",t,2022-08-17 16:37:50,India,https://randomuser.me/api/portraits/men/2.jpg,Travel,1.3M,3.90%,"₹85,000"
bruisedpassports,Savi & Vidit (BruisedPassports),Couple creating travel & lifestyle content from 112 countries,"{travel, lifestyle}",t,2021-06-10 20:20:20,India,https://randomuser.me/api/portraits/women/3.jpg,Travel,1.2M,4.20%,"₹80,000"
anunaysood,Anunay Sood,Travel blogger delivering daily travel therapy & tips,"{travel, vlogging}",t,2023-09-01 07:45:12,India,https://randomuser.me/api/portraits/men/3.jpg,Travel,1.2M,3.50%,"₹75,000"
aakanksha.monga,Aakanksha Monga,Travel vlogger focused on growth & mindset (Forbes),"{travel, motivation}",t,2024-01-22 13:11:58,"Delhi, India",https://randomuser.me/api/portraits/women/4.jpg,Travel,1.3M,3.20%,"₹80,000"
khan.isa,Isa Khan,Travel photographer showcasing India’s beauty,"{travel, photography}",t,2022-05-30 10:00:00,India,https://randomuser.me/api/portraits/men/4.jpg,Travel,1.2M,3.80%,"₹70,000"
lakshyarajsinghmewar,Lakshyaraj Singh Mewar,Traveler & philosopher dreaming of a borderless world,"{travel, philosophy}",t,2021-09-12 19:30:45,India,https://randomuser.me/api/portraits/women/5.jpg,Travel,1.3M,3.00%,"₹70,000"
tanyakhanijow,Tanya Khanijow,"Global traveler & investor, brings the world closer","{travel, finance}",t,2023-12-01 08:20:00,India,https://randomuser.me/api/portraits/men/5.jpg,Travel,1.1M,3.70%,"₹65,000"
ridergirlvishakha,Vishakha Fulsunge,Motorcycle-loving travel & lifestyle vlogger,"{travel, motorcycles}",t,2022-11-11 09:09:09,"Mumbai, India",https://randomuser.me/api/portraits/women/6.jpg,Travel,0.94M,4.50%,"₹60,000"
larissa_wlc,Larissa D'Sa,"Travel filmmaker & NatGeo presenter, storytelling","{travel, filmmaking}",t,2020-07-21 15:45:22,"Mumbai, India",https://randomuser.me/api/portraits/men/6.jpg,Travel,0.83M,4.80%,"₹55,000"
