username,display_name,bio,tags,is_active,created_at,location,profile_image_url
simrun_chopra,Simrun Chopra,Certified fitness coach specializing in women's health and weight management,"{fitness, wellness, weightloss}",t,2025-05-31 17:47:00,"Mumbai, India",https://randomuser.me/api/portraits/women/5.jpg
yasmin_karachiwala,Yasmin Karachiwala,Celebrity Pilates instructor and founder of YKBI,"{fitness, pilates, wellness}",t,2025-05-31 17:47:00,"Mumbai, India",https://randomuser.me/api/portraits/women/10.jpg
biglee_murali,Biglee Murali,Professional bodybuilder and fitness trainer,"{fitness, bodybuilding, nutrition}",t,2025-05-31 17:47:00,"Delhi, India",https://randomuser.me/api/portraits/men/15.jpg
niharika_vashisht,Niharika Vashisht,Pilates trainer and fitness influencer,"{fitness, pilates, health}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/women/15.jpg
nidhi_agrawal,Nidhi Agrawal,Nutritionist and wellness coach,"{fitness, nutrition, wellness}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/women/20.jpg
sheena_roy,Sheena Roy,Nutrition coach and behavior change specialist,"{fitness, nutrition, weightloss}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/women/25.jpg
tejas_yadav,Tejas Yadav,Fitness trainer and gym owner,"{fitness, training}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/men/10.jpg
rohit_khatri,Rohit Khatri,CrossFit coach and fitness influencer,"{fitness, crossfit, training}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/men/5.jpg
nishika_mehta,Nishika Mehta,Fitness entrepreneur and YouTuber,"{fitness, entrepreneurship}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/women/35.jpg
pallavi_yadav,Pallavi Yadav,Lifestyle and fitness enthusiast,"{fitness, wellness, lifestyle}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/women/40.jpg
trendy_criminal,Trendy Criminal,Fitness motivational coach with focus on women's fitness,"{fitness, motivation, training}",t,2025-05-31 17:47:00,"Chandigarh, India",https://randomuser.me/api/portraits/women/30.jpg
lakshya_archana_singh,Lakshya Archana Singh,Fitness influencer and body transformation coach,"{fitness, weightloss}",t,2025-05-31 17:47:00,"Haryana, India",https://randomuser.me/api/portraits/women/50.jpg
naveen_jangid,Naveen Jangid,Bodybuilding athlete and fitness model,"{fitness, bodybuilding}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/men/20.jpg
luke_coutinho,Luke Coutinho,Celebrity holistic lifestyle coach and nutritionist,"{wellness, nutrition, lifestyle}",t,2025-05-31 17:47:00,"Mumbai, India",https://randomuser.me/api/portraits/men/25.jpg
ankita_singh,Ankita Singh,Personal trainer and wellness blogger,"{fitness, wellness}",t,2025-05-31 17:47:00,India,https://randomuser.me/api/portraits/women/45.jpg
